venue_name,venue_type,category,city,state,pincode,website_url,owner_name,owner_email,owner_phone,cuisine,address,country,latitude,longitude,google_maps_url,price_range
Rajesh Restuarant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Rajesh Restuarant, Jawahar Marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7153943,75.8417266,"https://www.google.com/maps?q=22.7153943,75.8417266",Budget
Jash Garden Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Jash Garden Restaurant, Badal Chand Mehta Road, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7543288,75.9069731,"https://www.google.com/maps?q=22.7543288,75.9069731",Budget
Eden Garden,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Eden Garden, Old A. B. Road, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7705091,75.9006014,"https://www.google.com/maps?q=22.7705091,75.9006014",Budget
Vrindavan Restaurant,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"Vrindavan Restaurant, 13 Old, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7616141,75.8863559,"https://www.google.com/maps?q=22.7616141,75.8863559",Budget
Desi Tadka,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Desi Tadka, Kushabhau Thakre Marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7488258,75.9117371,"https://www.google.com/maps?q=22.7488258,75.9117371",Budget
Rangoon Garden,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,multicuisine,"Rangoon Garden, Kushabhau Thakre Marg, Indore City, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7486549,75.918086,"https://www.google.com/maps?q=22.7486549,75.918086",Budget
Central Mess,Restaurant,Restaurant,Ranjhi Tahsil,Madhya Pradesh,482005,,,,,multicuisine,"Central Mess, mess entrance, Cantonment, Ranjhi Tahsil, Jabalpur, Madhya Pradesh, 482005, India",India,23.1774059,80.021289,"https://www.google.com/maps?q=23.1774059,80.021289",Budget
Hexagon,Restaurant,Restaurant,Ranjhi Tahsil,Madhya Pradesh,482005,,,,,multicuisine,"Indian Institute of Information Technology Design and Manufacturing Jabalpur, Airport Road, Cantonment, Ranjhi Tahsil, Jabalpur, Madhya Pradesh, 482005, India",India,23.1780862,80.0245585,"https://www.google.com/maps?q=23.1780862,80.0245585",Budget
Hunger Pangzzz,Restaurant,Restaurant,Indore,Madhya Pradesh,452001,,,,,indian,"MY Kitchen Restaurant, Ring Road, Piplya Kumar, Indore, Juni Indore Tahsil, Indore, Madhya Pradesh, 452001, India",India,22.7562332,75.9051965,"https://www.google.com/maps?q=22.7562332,75.9051965",Budget
Windz and Waves,Restaurant,Restaurant,Bhopal,Madhya Pradesh,462001,,,,,multicuisine,"Windz and Waves, Lake View Walk Path, Krishna Nagar, Ibrahimpura, Bhopal, Huzur Tahsil, Bhopal, Madhya Pradesh, 462001, India",India,23.2416597,77.3805585,"https://www.google.com/maps?q=23.2416597,77.3805585",Budget
